experiment,metric,baseline,p_value,significant
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,full_information,0.56640625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,popularity,0.53125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,full_information,0.673828125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,popularity,0.623046875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,full_information,0.80859375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,popularity,0.9609375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,full_information,0.53125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,popularity,0.109375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,full_information,0.9453125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,popularity,0.7265625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[2, 6]",acc,full_information,0.671875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[2, 6]",acc,popularity,0.8125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[3, 5]",acc,full_information,0.150390625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[3, 5]",acc,popularity,0.5,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[4, 4]",acc,full_information,0.65625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[4, 4]",acc,popularity,0.78125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[5, 3]",acc,full_information,0.765625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[5, 3]",acc,popularity,0.5,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[6, 2]",acc,full_information,0.9375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[6, 2]",acc,popularity,0.3125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[5, 3]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[2, 6]",acc,full_information,0.90625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[2, 6]",acc,popularity,0.7578125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0322265625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0654296875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[3, 5]",acc,full_information,0.765625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[3, 5]",acc,popularity,0.4375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0068359375,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0419921875,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[4, 4]",acc,full_information,0.28125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[4, 4]",acc,popularity,0.1875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.0048828125,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[5, 3]",acc,full_information,0.65625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[5, 3]",acc,popularity,0.078125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[6, 2]",acc,full_information,0.09375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[6, 2]",acc,popularity,0.3125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[6, 2]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,full_information,0.8837890625,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,popularity,0.4453125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.013671875,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,full_information,0.9970703125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,popularity,0.7216796875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0322265625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,full_information,0.998046875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,popularity,0.71484375,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,full_information,1.0,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,popularity,0.919921875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,full_information,0.9990234375,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,popularity,0.951171875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,simple_markov,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,full_information,0.7216796875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,popularity,0.6875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0244140625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,full_information,0.8623046875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,popularity,0.58984375,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,full_information,0.998046875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,popularity,0.8388671875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,full_information,0.9951171875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,popularity,0.0966796875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,full_information,0.986328125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,popularity,0.1162109375,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,full_information,0.9345703125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,popularity,0.8125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0966796875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,full_information,0.5,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,popularity,0.150390625,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,full_information,0.7216796875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,popularity,0.0654296875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,full_information,0.8203125,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,popularity,0.529296875,False
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.3_current_alpha_beta-[4, 4]_future_alpha_beta-[6, 2]",acc,full_information,0.8388671875,False
